"station_id","year","total_frequency","total_ridership","latitude","longitude"
40400,2012,24277,243770,42.058282,-87.683337
40400,2013,24277,245804,42.058282,-87.683337
40400,2014,24277,256118,42.058282,-87.683337
40400,2015,24277,257335,42.058282,-87.683337
40400,2016,24329,277442,42.058282,-87.683337
40400,2017,24255,282461,42.058282,-87.683337
40400,2018,24277,282356,42.058282,-87.683337
40400,2019,24277,276037,42.058282,-87.683337
40400,2020,24350,85834,42.058282,-87.683337
40400,2021,24255,107387,42.058282,-87.683337
40400,2022,24278,146364,42.058282,-87.683337
40400,2023,12072,80309,42.058282,-87.683337
40450,2012,33732,3977011,41.722377,-87.624342
40450,2013,30988,1996862,41.722377,-87.624342
40450,2014,33732,3669599,41.722377,-87.624342
40450,2015,33732,3676215,41.722377,-87.624342
40450,2016,33810,3468728,41.722377,-87.624342
40450,2017,33704,3261146,41.722377,-87.624342
40450,2018,33732,3024989,41.722377,-87.624342
40450,2019,33732,2818826,41.722377,-87.624342
40450,2020,33832,1425095,41.722377,-87.624342
40450,2021,33704,1170323,41.722377,-87.624342
40450,2022,33738,1330341,41.722377,-87.624342
40450,2023,16766,689016,41.722377,-87.624342
40460,2012,24167,1915796,41.888969,-87.633924
40460,2013,24167,1927931,41.888969,-87.633924
40460,2014,24167,2100263,41.888969,-87.633924
40460,2015,24167,2091451,41.888969,-87.633924
40460,2016,24218,2219219,41.888969,-87.633924
40460,2017,24144,2249029,41.888969,-87.633924
40460,2018,24167,2288454,41.888969,-87.633924
40460,2019,24167,2237817,41.888969,-87.633924
40460,2020,24240,580038,41.888969,-87.633924
40460,2021,24144,542819,41.888969,-87.633924
40460,2022,24168,881310,41.888969,-87.633924
40460,2023,12019,520141,41.888969,-87.633924
40470,2012,26292,726405,41.87592,-87.659458
40470,2013,26292,751720,41.87592,-87.659458
40470,2014,26292,757731,41.87592,-87.659458
40470,2015,26292,733620,41.87592,-87.659458
40470,2016,26356,674154,41.87592,-87.659458
40470,2017,26267,655557,41.87592,-87.659458
40470,2018,26292,678695,41.87592,-87.659458
40470,2019,26292,622690,41.87592,-87.659458
40470,2020,26370,196114,41.87592,-87.659458
40470,2021,26267,222941,41.87592,-87.659458
40470,2022,26303,323222,41.87592,-87.659458
40470,2023,13068,155766,41.87592,-87.659458
40520,2012,24277,269664,42.05416,-87.68356
40520,2013,24277,266600,42.05416,-87.68356
40520,2014,24277,272856,42.05416,-87.68356
40520,2015,24277,282795,42.05416,-87.68356
40520,2016,24329,290644,42.05416,-87.68356
40520,2017,24255,276646,42.05416,-87.68356
40520,2018,24277,258836,42.05416,-87.68356
40520,2019,24277,252742,42.05416,-87.68356
40520,2020,24350,79320,42.05416,-87.68356
40520,2021,24255,97843,42.05416,-87.68356
40520,2022,24278,133737,42.05416,-87.68356
40520,2023,12072,69480,42.05416,-87.68356
40530,2012,52499,3446342,41.932732,-87.653131
40530,2013,52499,3619838,41.932732,-87.653131
40530,2014,52499,3578196,41.932732,-87.653131
40530,2015,52499,3450390,41.932732,-87.653131
40530,2016,52614,3513720,41.932732,-87.653131
40530,2017,52443,3362648,41.932732,-87.653131
40530,2018,52499,3395804,41.932732,-87.653131
40530,2019,52499,3302014,41.932732,-87.653131
40530,2020,52658,1050438,41.932732,-87.653131
40530,2021,52443,1108096,41.932732,-87.653131
40530,2022,52511,1598974,41.932732,-87.653131
40530,2023,26111,895168,41.932732,-87.653131
40540,2012,57899,4200982,41.964273,-87.657588
40540,2013,57899,4033704,41.964273,-87.657588
40540,2014,57899,3949286,41.964273,-87.657588
40540,2015,57899,3879872,41.964273,-87.657588
40540,2016,58028,3743696,41.964273,-87.657588
40540,2017,57848,3576070,41.964273,-87.657588
40540,2018,57899,4123522,41.964273,-87.657588
40540,2019,57899,4086774,41.964273,-87.657588
40540,2020,58072,1714272,41.964273,-87.657588
40540,2021,57848,2106148,41.964273,-87.657588
40540,2022,57906,2758832,41.964273,-87.657588
40540,2023,28785,1515168,41.964273,-87.657588
40600,2012,24125,141026,41.853751,-87.733258
40600,2013,24125,155403,41.853751,-87.733258
40600,2014,24125,173759,41.853751,-87.733258
40600,2015,24125,174320,41.853751,-87.733258
40600,2016,24187,163337,41.853751,-87.733258
40600,2017,24113,157504,41.853751,-87.733258
40600,2018,24125,150211,41.853751,-87.733258
40600,2019,24125,144034,41.853751,-87.733258
40600,2020,24194,69864,41.853751,-87.733258
40600,2021,24113,65197,41.853751,-87.733258
40600,2022,24130,73788,41.853751,-87.733258
40600,2023,11978,38794,41.853751,-87.733258
40610,2012,22120,400961,41.887159,-87.783661
40610,2013,22120,396954,41.887159,-87.783661
40610,2014,22120,391299,41.887159,-87.783661
40610,2015,22120,393399,41.887159,-87.783661
40610,2016,22180,389944,41.887159,-87.783661
40610,2017,22113,411170,41.887159,-87.783661
40610,2018,22120,403026,41.887159,-87.783661
40610,2019,22120,386792,41.887159,-87.783661
40610,2020,22182,122683,41.887159,-87.783661
40610,2021,22113,118205,41.887159,-87.783661
40610,2022,22125,159921,41.887159,-87.783661
40610,2023,10976,90394,41.887159,-87.783661
40630,2012,33732,2651651,41.90392,-87.631412
40630,2013,33732,2554556,41.90392,-87.631412
40630,2014,33732,2583811,41.90392,-87.631412
40630,2015,33732,2566958,41.90392,-87.631412
40630,2016,33810,2747593,41.90392,-87.631412
40630,2017,33704,2630294,41.90392,-87.631412
40630,2018,33732,2585408,41.90392,-87.631412
40630,2019,33732,2452981,41.90392,-87.631412
40630,2020,33832,836745,41.90392,-87.631412
40630,2021,33704,1077615,41.90392,-87.631412
40630,2022,33738,1330609,41.90392,-87.631412
40630,2023,16766,696598,41.90392,-87.631412
40650,2012,33732,1859839,41.910655,-87.649177
40650,2013,33732,1919729,41.910655,-87.649177
40650,2014,33732,2050476,41.910655,-87.649177
40650,2015,33732,2146351,41.910655,-87.649177
40650,2016,33810,2128272,41.910655,-87.649177
40650,2017,33704,1950402,41.910655,-87.649177
40650,2018,33732,1871512,41.910655,-87.649177
40650,2019,33732,1780616,41.910655,-87.649177
40650,2020,33832,609284,41.910655,-87.649177
40650,2021,33704,672823,41.910655,-87.649177
40650,2022,33738,852006,41.910655,-87.649177
40650,2023,16766,449872,41.910655,-87.649177
40660,2012,52499,2688136,41.918217,-87.652644
40660,2013,52499,2657604,41.918217,-87.652644
40660,2014,52499,2659964,41.918217,-87.652644
40660,2015,52499,2485476,41.918217,-87.652644
40660,2016,52614,2685240,41.918217,-87.652644
40660,2017,52443,2626338,41.918217,-87.652644
40660,2018,52499,2572212,41.918217,-87.652644
40660,2019,52499,2487302,41.918217,-87.652644
40660,2020,52658,757324,41.918217,-87.652644
40660,2021,52443,917972,41.918217,-87.652644
40660,2022,52511,1381990,41.918217,-87.652644
40660,2023,26111,769774,41.918217,-87.652644
40680,2012,93343,9063472,41.879507,-87.626037
40680,2013,93343,8713088,41.879507,-87.626037
40680,2014,93343,8525764,41.879507,-87.626037
40680,2015,93343,11153016,41.879507,-87.626037
40680,2016,93580,11233520,41.879507,-87.626037
40680,2017,93299,10293116,41.879507,-87.626037
40680,2018,93343,8899820,41.879507,-87.626037
40680,2019,93343,8349932,41.879507,-87.626037
40680,2020,93610,2545864,41.879507,-87.626037
40680,2021,93299,2690500,41.879507,-87.626037
40680,2022,93357,4335808,41.879507,-87.626037
40680,2023,46345,2441128,41.879507,-87.626037
40690,2012,24167,272732,42.041655,-87.681602
40690,2013,24167,284376,42.041655,-87.681602
40690,2014,24167,303799,42.041655,-87.681602
40690,2015,24167,299417,42.041655,-87.681602
40690,2016,24218,285226,42.041655,-87.681602
40690,2017,24144,279608,42.041655,-87.681602
40690,2018,24167,271102,42.041655,-87.681602
40690,2019,24167,258934,42.041655,-87.681602
40690,2020,24240,96449,42.041655,-87.681602
40690,2021,24144,102300,42.041655,-87.681602
40690,2022,24168,129295,42.041655,-87.681602
40690,2023,12019,67417,42.041655,-87.681602
40700,2012,22120,452362,41.887163,-87.754986
40700,2013,22120,450871,41.887163,-87.754986
40700,2014,22120,465524,41.887163,-87.754986
40700,2015,22120,456044,41.887163,-87.754986
40700,2016,22180,436103,41.887163,-87.754986
40700,2017,22113,372667,41.887163,-87.754986
40700,2018,22120,363975,41.887163,-87.754986
40700,2019,22120,337121,41.887163,-87.754986
40700,2020,22182,169442,41.887163,-87.754986
40700,2021,22113,147505,41.887163,-87.754986
40700,2022,22125,168788,41.887163,-87.754986
40700,2023,10976,94643,41.887163,-87.754986
40730,2012,71223,6178881,41.882695,-87.63378
40730,2013,71223,6091947,41.882695,-87.63378
40730,2014,71223,6191277,41.882695,-87.63378
40730,2015,71223,6425166,41.882695,-87.63378
40730,2016,71400,6905943,41.882695,-87.63378
40730,2017,71186,6656037,41.882695,-87.63378
40730,2018,71223,6536889,41.882695,-87.63378
40730,2019,71223,6643566,41.882695,-87.63378
40730,2020,71428,2006484,41.882695,-87.63378
40730,2021,71186,1739496,41.882695,-87.63378
40730,2022,71232,2845008,41.882695,-87.63378
40730,2023,35369,1687041,41.882695,-87.63378
40760,2012,33732,1155454,41.993664,-87.659202
40760,2013,33732,1333721,41.993664,-87.659202
40760,2014,33732,1419768,41.993664,-87.659202
40760,2015,33732,1405376,41.993664,-87.659202
40760,2016,33810,1369003,41.993664,-87.659202
40760,2017,33704,1307096,41.993664,-87.659202
40760,2018,33732,1276895,41.993664,-87.659202
40760,2019,33732,1201804,41.993664,-87.659202
40760,2020,33832,397034,41.993664,-87.659202
40760,2021,33704,464166,41.993664,-87.659202
40760,2022,33738,598670,41.993664,-87.659202
40760,2023,16766,323222,41.993664,-87.659202
40770,2012,33732,976006,41.969139,-87.658493
40770,2013,33732,1082730,41.969139,-87.658493
40770,2014,33732,1147022,41.969139,-87.658493
40770,2015,33732,1139764,41.969139,-87.658493
40770,2016,33810,1148150,41.969139,-87.658493
40770,2017,33704,1149858,41.969139,-87.658493
40770,2018,33732,1040727,41.969139,-87.658493
40770,2019,33732,975396,41.969139,-87.658493
40770,2020,33832,340496,41.969139,-87.658493
40770,2021,33704,94377,41.969139,-87.658493
40770,2022,33738,0,41.969139,-87.658493
40770,2023,16766,0,41.969139,-87.658493
40780,2012,24125,397385,41.853839,-87.714842
40780,2013,24125,408274,41.853839,-87.714842
40780,2014,24125,417750,41.853839,-87.714842
